word_en,class_en,word_ru,class_ru
,,взрослый,животное
,,взрослого,животное
,,взрослому,животное
,,взрослым,животное
,,взрослые,животное
,,взрослых,животное
,,аллигатор,рептилия
,,аллигатора,рептилия
,,аллигатору,рептилия
,,аллигатором,рептилия
,,аллигаторы,рептилия
,,аллигаторов,рептилия
,,амазон,птица
,,амазона,птица
,,амазоны,птица
,,амазонов,птица
,,животные,животное
,,животных,животное
,,животным,животное
,,животными,животное
,,муравей,насекомое
,,муравья,насекомое
,,муравью,насекомое
,,муравьём,насекомое
,,муравье,насекомое
,,муравьед,млекопитающее
,,муравьеда,млекопитающее
,,муравьеду,млекопитающее
,,муравьедом,млекопитающее
,,муравьеды,млекопитающее
,,муравьедов,млекопитающее
,,муравьи,насекомое
,,муравьёв,насекомое
,,муравьям,насекомое
,,муравьями,насекомое
,,яблоко,дерево
,,яблока,дерево
,,яблоку,дерево
,,яблоком,дерево
,,яблоке,дерево
,,яблоки,дерево
,,яблок,дерево
,,яблокам,дерево
,,яблоками,дерево
,,водный,растение
,,водного,растение
,,водные,растение
,,водных,растение
,,броненосец,млекопитающее
,,броненосца,млекопитающее
,,броненосцу,млекопитающее
,,броненосцем,млекопитающее
,,броненосцы,млекопитающее
,,броненосцев,млекопитающее
,,ясень,дерево
,,ясеня,дерево
,,ясеню,дерево
,,ясенем,дерево
,,ясени,дерево
,,ясеней,дерево
,,младенцы,животное
,,младенцев,животное
,,младенцам,животное
,,детёныши,животное
,,детёнышей,животное
,,младенец,животное
,,младенца,животное
,,младенцу,животное
,,детёныш,животное
,,детёныша,животное
,,летучая мышь,млекопитающее
,,летучей мыши,млекопитающее
,,летучую мышь,млекопитающее
,,летучие мыши,млекопитающее
,,медведь,млекопитающее
,,медведя,млекопитающее
,,медведю,млекопитающее
,,медведем,млекопитающее
,,медведе,млекопитающее
,,медведи,млекопитающее
,,медведей,млекопитающее
,,медведям,млекопитающее
,,медведями,млекопитающее
,,зверь,животное
,,зверя,животное
,,зверю,животное
,,зверем,животное
,,звере,животное
,,звери,животное
,,зверей,животное
,,зверям,животное
,,зверями,животное
,,пчела,насекомое
,,пчелы,насекомое
,,пчеле,насекомое
,,пчелу,насекомое
,,пчелой,насекомое
,,пчёлы,насекомое
,,пчёл,насекомое
,,пчёлам,насекомое
,,пчёлами,насекомое
,,птицы,птица
,,птиц,птица
,,птицам,птица
,,птицами,птица
,,птицах,птица
,,сука,млекопитающее
,,суки,млекопитающее
,,суке,млекопитающее
,,суку,млекопитающее
,,сукой,млекопитающее
,,самшит,растение
,,самшита,растение
,,самшиту,растение
,,самшитом,растение
,,метла,растение
,,метлы,растение
,,метле,растение
,,метлу,растение
,,метлой,растение
,,буйвол,млекопитающее
,,буйвола,млекопитающее
,,буйволу,млекопитающее
,,буйволом,млекопитающее
,,буйволы,млекопитающее
,,буйволов,млекопитающее
,,бык,млекопитающее
,,быка,млекопитающее
,,быку,млекопитающее
,,быком,млекопитающее
,,быке,млекопитающее
,,куст,растение
,,куста,растение
,,кусту,растение
,,кустом,растение
,,кусте,растение
,,кусты,растение
,,кайман,рептилия
,,каймана,рептилия
,,кайману,рептилия
,,кайманом,рептилия
,,кайманы,рептилия
,,кайманов,рептилия
,,телёнок,животное
,,телёнка,животное
,,телёнку,животное
,,телёнком,животное
,,телята,животное
,,верблюд,млекопитающее
,,верблюда,млекопитающее
,,верблюду,млекопитающее
,,верблюдом,млекопитающее
,,верблюды,млекопитающее
,,верблюдов,млекопитающее
,,кардинал,птица
,,кардинала,птица
,,кардиналу,птица
,,кардиналом,птица
,,кардиналы,птица
,,кот,млекопитающее
,,кота,млекопитающее
,,коту,млекопитающее
,,котом,млекопитающее
,,коте,млекопитающее
,,кошка,млекопитающее
,,кошки,млекопитающее
,,кошке,млекопитающее
,,кошку,млекопитающее
,,скот,млекопитающее
,,скота,млекопитающее
,,скоту,млекопитающее
,,скотом,млекопитающее
,,скоте,млекопитающее
,,злак,растение
,,злака,растение
,,злаки,растение
,,злаков,растение
,,злакам,растение
,,хамелеон,рептилия
,,хамелеона,рептилия
,,хамелеону,рептилия
,,хамелеоном,рептилия
,,хамелеоны,рептилия
,,хамелеонов,рептилия
,,курица,птица
,,курицы,птица
,,курице,птица
,,курицу,птица
,,курицей,птица
,,куры,птица
,,кур,птица
,,курам,птица
,,курами,птица
,,бурундук,млекопитающее
,,бурундука,млекопитающее
,,бурундуку,млекопитающее
,,бурундуком,млекопитающее
,,бурундуки,млекопитающее
,,бурундуков,млекопитающее
,,петух,птица
,,петуха,птица
,,петуху,птица
,,петухом,птица
,,петухе,птица
,,жеребята,животное
,,жеребят,животное
,,жеребятам,животное
,,жеребёнок,животное
,,жеребёнка,животное
,,кизил,дерево
,,кизила,дерево
,,кизилу,дерево
,,кизилом,дерево
,,кизиле,дерево
,,корова,млекопитающее
,,коровы,млекопитающее
,,корове,млекопитающее
,,корову,млекопитающее
,,коровой,млекопитающее
,,коров,млекопитающее
,,коровам,млекопитающее
,,коровами,млекопитающее
,,койот,млекопитающее
,,койота,млекопитающее
,,койоту,млекопитающее
,,койотом,млекопитающее
,,койоты,млекопитающее
,,койотов,млекопитающее
,,краб,ракообразное
,,краба,ракообразное
,,крабу,ракообразное
,,крабом,ракообразное
,,крабы,ракообразное
,,крабов,ракообразное
,,журавль,птица
,,журавля,птица
,,журавлю,птица
,,журавлём,птица
,,журавле,птица
,,существо,животное
,,существа,животное
,,существу,животное
,,существом,животное
,,существе,животное
,,существ,животное
,,существам,животное
,,существами,животное
,,крокодил,рептилия
,,крокодила,рептилия
,,крокодилу,рептилия
,,крокодилом,рептилия
,,крокодилы,рептилия
,,крокодилов,рептилия
,,урожай,растение
,,урожая,растение
,,урожаю,растение
,,урожаем,растение
,,посевы,растение
,,ворона,птица
,,вороны,птица
,,вороне,птица
,,ворону,птица
,,вороной,птица
,,кукушка,птица
,,кукушки,птица
,,кукушке,птица
,,кукушку,птица
,,кукушкой,птица
,,олень,млекопитающее
,,оленя,млекопитающее
,,оленю,млекопитающее
,,оленем,млекопитающее
,,олене,млекопитающее
,,олени,млекопитающее
,,оленей,млекопитающее
,,оляпка,птица
,,оляпки,птица
,,оляпке,птица
,,оляпку,птица
,,оляпкой,птица
,,самка,млекопитающее
,,самки,млекопитающее
,,самке,млекопитающее
,,самку,млекопитающее
,,самкой,млекопитающее
,,собака,млекопитающее
,,собаки,млекопитающее
,,собаке,млекопитающее
,,собаку,млекопитающее
,,собакой,млекопитающее
,,пёс,млекопитающее
,,пса,млекопитающее
,,собак,млекопитающее
,,собакам,млекопитающее
,,собаками,млекопитающее
,,осёл,млекопитающее
,,осла,млекопитающее
,,ослу,млекопитающее
,,ослом,млекопитающее
,,осле,млекопитающее
,,голубь,птица
,,голубя,птица
,,голубю,птица
,,голубем,птица
,,голубе,птица
,,дракон,рептилия
,,дракона,рептилия
,,дракону,рептилия
,,драконом,рептилия
,,драконе,рептилия
,,драконы,рептилия
,,драконов,рептилия
,,утка,птица
,,утки,птица
,,утке,птица
,,утку,птица
,,уткой,птица
,,уток,птица
,,уткам,птица
,,утками,птица
,,орлы,птица
,,орлов,птица
,,орлам,птица
,,орлами,птица
,,орёл,птица
,,орла,птица
,,угорь,рыба
,,угря,рыба
,,угрю,рыба
,,угрём,рыба
,,угре,рыба
,,бузина,растение
,,бузины,растение
,,бузине,растение
,,бузину,растение
,,бузиной,растение
,,слон,млекопитающее
,,слона,млекопитающее
,,слону,млекопитающее
,,слоном,млекопитающее
,,слоне,млекопитающее
,,лось,млекопитающее
,,лося,млекопитающее
,,лосю,млекопитающее
,,лосем,млекопитающее
,,лосе,млекопитающее
,,зародыш,растение
,,зародыша,растение
,,зародышу,растение
,,зародыши,растение
,,зародышей,растение
,,кошачий,млекопитающее
,,кошачьего,млекопитающее
,,кошачьи,млекопитающее
,,кошачьих,млекопитающее
,,самок,животное
,,самкам,животное
,,самками,животное
,,рыбы,рыба
,,рыб,рыба
,,рыбам,рыба
,,рыбами,рыба
,,рыба,рыба
,,рыбу,рыба
,,блоха,насекомое
,,блохи,насекомое
,,блохе,насекомое
,,блоху,насекомое
,,блохой,насекомое
,,блох,насекомое
,,блохам,насекомое
,,блохами,насекомое
,,мухи,насекомое
,,мух,насекомое
,,мухам,насекомое
,,мухами,насекомое
,,цветы,цветок
,,цветов,цветок
,,цветам,цветок
,,цветами,цветок
,,цветах,цветок
,,муха,насекомое
,,мухе,насекомое
,,муху,насекомое
,,мухой,насекомое
,,лиса,млекопитающее
,,лисы,млекопитающее
,,лисе,млекопитающее
,,лису,млекопитающее
,,лисой,млекопитающее
,,лисица,млекопитающее
,,лисицы,млекопитающее
,,лис,млекопитающее
,,лисам,млекопитающее
,,лисами,млекопитающее
,,лягушка,амфибия
,,лягушки,амфибия
,,лягушке,амфибия
,,лягушку,амфибия
,,лягушкой,амфибия
,,лягушек,амфибия
,,лягушкам,амфибия
,,лягушками,амфибия
,,гуси,птица
,,гусей,птица
,,гусям,птица
,,гусями,птица
,,великан,животное
,,великана,животное
,,великану,животное
,,великаном,животное
,,великане,животное
,,великаны,животное
,,великанов,животное
,,великанам,животное
,,великанами,животное
,,коза,млекопитающее
,,козы,млекопитающее
,,козе,млекопитающее
,,козу,млекопитающее
,,козой,млекопитающее
,,козёл,млекопитающее
,,козла,млекопитающее
,,гусь,птица
,,гуся,птица
,,гусю,птица
,,гусем,птица
,,гусе,птица
,,тыква,растение
,,тыквы,растение
,,тыкве,растение
,,тыкву,растение
,,тыквой,растение
,,трава,растение
,,травы,растение
,,траве,растение
,,траву,растение
,,травой,растение
,,кузнечик,насекомое
,,кузнечика,насекомое
,,кузнечику,насекомое
,,кузнечиком,насекомое
,,кузнечики,насекомое
,,кузнечиков,насекомое
,,тетерев,птица
,,тетерева,птица
,,тетереву,птица
,,тетеревом,птица
,,тетереве,птица
,,заяц,млекопитающее
,,зайца,млекопитающее
,,зайцу,млекопитающее
,,зайцем,млекопитающее
,,зайце,млекопитающее
,,ястреб,птица
,,ястреба,птица
,,ястребу,птица
,,ястребом,птица
,,ястребе,птица
,,ёж,млекопитающее
,,ежа,млекопитающее
,,ежу,млекопитающее
,,ежом,млекопитающее
,,еже,млекопитающее
,,цапля,птица
,,цапли,птица
,,цапле,птица
,,цаплю,птица
,,цаплей,птица
,,лошадь,млекопитающее
,,лошади,млекопитающее
,,лошадью,млекопитающее
,,конь,млекопитающее
,,коня,млекопитающее
,,коню,млекопитающее
,,конём,млекопитающее
,,лошадей,млекопитающее
,,лошадям,млекопитающее
,,лошадями,млекопитающее
,,кони,млекопитающее
,,коней,млекопитающее
,,человек,млекопитающее
,,человека,млекопитающее
,,человеку,млекопитающее
,,человеком,млекопитающее
,,человеке,млекопитающее
,,человечество,млекопитающее
,,человечества,млекопитающее
,,человечеству,млекопитающее
,,человечеством,млекопитающее
,,люди,млекопитающее
,,людей,млекопитающее
,,людям,млекопитающее
,,людьми,млекопитающее
,,гиена,млекопитающее
,,гиены,млекопитающее
,,гиене,млекопитающее
,,гиену,млекопитающее
,,гиеной,млекопитающее
,,насекомые,насекомое
,,насекомых,насекомое
,,насекомым,насекомое
,,насекомыми,насекомое
,,шакал,млекопитающее
,,шакала,млекопитающее
,,шакалу,млекопитающее
,,шакалом,млекопитающее
,,шакалы,млекопитающее
,,шакалов,млекопитающее
,,ягуар,млекопитающее
,,ягуара,млекопитающее
,,ягуару,млекопитающее
,,ягуаром,млекопитающее
,,ягуары,млекопитающее
,,ягуаров,млекопитающее
,,козлята,млекопитающее
,,козлят,млекопитающее
,,козлёнок,млекопитающее
,,козлёнка,млекопитающее
,,леопард,млекопитающее
,,леопарда,млекопитающее
,,леопарду,млекопитающее
,,леопардом,млекопитающее
,,леопарды,млекопитающее
,,леопардов,млекопитающее
,,вши,насекомое
,,вшей,насекомое
,,вшам,насекомое
,,вшами,насекомое
,,лев,млекопитающее
,,льва,млекопитающее
,,льву,млекопитающее
,,львом,млекопитающее
,,льве,млекопитающее
,,ящерица,рептилия
,,ящерицы,рептилия
,,ящерице,рептилия
,,ящерицу,рептилия
,,ящерицей,рептилия
,,гагара,птица
,,гагары,птица
